search URL:,https://patents.google.com/?q=Aramid&country=US&before=priority:20190430&after=priority:20190401&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020335757-A1,Nonaqueous electrolyte secondary battery porous layer ,"Kensaku Horie, Yuichiro Azuma","Kensaku Horie, Yuichiro Azuma",2019-04-16,2020-04-15,2020-10-22,,https://patents.google.com/patent/US20200335757A1/en,
US-2020321033-A1,Cartridge ,Sony Corporation,"Eiji Nakashio, Kazuo Anno, Shinya Tochikubo, Takanobu Iwama",2019-04-05,2020-05-28,2020-10-08,,https://patents.google.com/patent/US20200321033A1/en,https://patentimages.storage.googleapis.com/78/b1/df/a12b5663e4af21/US20200321033A1-20201008-D00000.png
US-2021241797-A1,Magnetic recording cartridge ,Sony Group Corporation,"Minoru Yamaga, Noboru Sekiguchi",2019-04-26,2021-04-19,2021-08-05,,https://patents.google.com/patent/US20210241797A1/en,https://patentimages.storage.googleapis.com/09/31/ef/a690ed98f83389/US20210241797A1-20210805-D00000.png
US-2021245431-A1,Three-dimensional object molding method and molding device ,"Zhuhai Sailner 3D Technology Co., Ltd.","Qiancheng Yang, Wei Jiang",2019-04-12,2021-04-28,2021-08-12,,https://patents.google.com/patent/US20210245431A1/en,https://patentimages.storage.googleapis.com/37/28/d3/cfb5d6351d79d0/US20210245431A1-20210812-D00000.png
US-2020324462-A1,Braided comingled tow filament for use in 3d printing ,"Stratasys, Inc.",Clint Newell,2019-04-10,2020-04-08,2020-10-15,,https://patents.google.com/patent/US20200324462A1/en,https://patentimages.storage.googleapis.com/a4/79/fe/88bd079ac9d645/US20200324462A1-20201015-D00000.png
US-2020324472-A1,Printing machine for fabricating 3d integrated composite structures and having a rotatable extruder module ,Northrop Grumman Systems Corporation,"Eric G. Barnes, Pedro A. Gonzalez, Todd L. Szallay, Steven J. Floyd, Sung S. Park, Brett G. Morham, Cody J. Brown, Reese R. Allen, Ryan L. Bischoff",2019-04-10,2019-04-10,2020-10-15,,https://patents.google.com/patent/US20200324472A1/en,https://patentimages.storage.googleapis.com/b1/50/9f/861eebe3b73c37/US20200324472A1-20201015-D00000.png
US-11117319-B2,Printing machine for fabricating 3D integrated composite structures and having a multiple extruder module ,Northrop Grumman Systems Corporation,"Eric G. Barnes, Pedro A. Gonzalez, Todd L. Szallay, Steven J. Floyd, Sung S. Park, Brett G. Morham, Cody J. Brown, Reese R. Allen, Ryan L. Bischoff",2019-04-10,2019-04-10,2021-09-14,2021-09-14,https://patents.google.com/patent/US11117319B2/en,https://patentimages.storage.googleapis.com/45/bb/b9/52724779cb7d57/US11117319-20210914-D00000.png
US-2020323703-A1,Adjustable absorbent article ,Productos Familia S.A.,"Luisa Fernanda Arbeláez Correa, Fabio Alberto López Pimienta, Mateo MORALES GOMEZ",2019-04-09,2020-04-08,2020-10-15,,https://patents.google.com/patent/US20200323703A1/en,https://patentimages.storage.googleapis.com/8d/f9/cb/bc12c0156d2fad/US20200323703A1-20201015-D00000.png
US-10598460-B1,Power assisted bow with energy storage and relock mechanism ,"Sos Solutions, Inc.","Samuel R. Peacemaker, Benjamin Peacemaker",2019-04-10,2019-04-10,2020-03-24,2020-03-24,https://patents.google.com/patent/US10598460B1/en,https://patentimages.storage.googleapis.com/e9/f0/f0/2d041d45e0fe78/US10598460-20200324-D00000.png
US-2020328452-A1,"Solid electrolyte sheet, all-solid-state battery, separator, and lithium ion battery ","Honda Motor Co., Ltd.","Wataru Shimizu, Masahiro Ohta",2019-04-10,2020-03-31,2020-10-15,,https://patents.google.com/patent/US20200328452A1/en,https://patentimages.storage.googleapis.com/0f/2f/b6/d62433889bdd97/US20200328452A1-20201015-D00000.png
